"Survey"	"Stratum"	"PSU"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"DensityWeight"	"MeanLengthDistributionWeight"	"LengthDistributionType"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	38.044663041683	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	259.179181212535	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	35.793769026338	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	75	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	9254.09564206728	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	1217.86281213961	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	772.296909298272	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	555.428169413881	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	327.548913651853	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	350.899703110656	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	332.175712958045	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	319.987723371767	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	189.301041463304	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	145.826863792238	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	65	5	106.256393358349	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	85	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	5	5	4295.00455978566	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	64232.7232375551	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	29217.2284317986	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	10803.9310161914	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	6554.1914025431	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	1655.37552834688	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	3095.37352773314	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	206.157564303456	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	393.520607880673	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	386.691261609711	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	178.893616529178	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	95	5	354.039096827992	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU5"	"WaterColumn"	"torsk/164712/126436/NA"	100	5	177.019548413996	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU6"	NA	NA	NA	NA	NA	NA	NA	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	308.886902312114	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	806.337210605254	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	1665.35732013007	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	4729.83878421275	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	2949.41932634104	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	1502.5107811651	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	221.900135317141	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	211.22000516602	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	95	5	51.109635144586	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU7"	"WaterColumn"	"torsk/164712/126436/NA"	115	5	51.109635144586	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	5	5	65.199310205507	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	1499.58413472588	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	255.440662142479	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	165.651550680413	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	152.418705363364	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	138.534625491542	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	351.358365386118	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	497.170339471959	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	712.955065873777	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	421.062274115609	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	110.877888680306	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	35.542333909695	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	65	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	70.837595572268	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU8"	"WaterColumn"	"torsk/164712/126436/NA"	95	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
