Stratum	PSU	EDSU	Layer	Channel	Cruise	EffectiveLogDistance	DateTime	Longitude	Latitude
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:43:00.000Z	WaterColumn		2020821	0.1	2020-04-24T18:43:00Z	3.9556034	57.703938
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:44:23.000Z	WaterColumn		2020821	0.1	2020-04-24T18:44:23Z	3.9542	57.70245
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:45:13.000Z	WaterColumn		2020821	0.1	2020-04-24T18:45:13Z	3.95331	57.700855
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:45:55.000Z	WaterColumn		2020821	0.1	2020-04-24T18:45:55Z	3.952435	57.69923
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:46:36.000Z	WaterColumn		2020821	0.1	2020-04-24T18:46:36Z	3.951595	57.697594
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:47:15.000Z	WaterColumn		2020821	0.1	2020-04-24T18:47:15Z	3.95077	57.695995
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:47:54.000Z	WaterColumn		2020821	0.1	2020-04-24T18:47:54Z	3.9499216	57.69437
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:48:32.000Z	WaterColumn		2020821	0.1	2020-04-24T18:48:32Z	3.9490833	57.69278
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:49:10.000Z	WaterColumn		2020821	0.1	2020-04-24T18:49:10Z	3.948215	57.69119
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:49:48.000Z	WaterColumn		2020821	0.1	2020-04-24T18:49:48Z	3.9473934	57.689598
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:50:27.000Z	WaterColumn		2020821	0.1	2020-04-24T18:50:27Z	3.9465816	57.688004
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:51:04.000Z	WaterColumn		2020821	0.1	2020-04-24T18:51:04Z	3.9457233	57.686398
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:51:42.000Z	WaterColumn		2020821	0.1	2020-04-24T18:51:42Z	3.9448733	57.68478
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:52:20.000Z	WaterColumn		2020821	0.1	2020-04-24T18:52:20Z	3.9440267	57.68316
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:52:58.000Z	WaterColumn		2020821	0.1	2020-04-24T18:52:58Z	3.9431684	57.68156
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:53:36.000Z	WaterColumn		2020821	0.1	2020-04-24T18:53:36Z	3.9423332	57.679996
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:54:14.000Z	WaterColumn		2020821	0.1	2020-04-24T18:54:14Z	3.9415684	57.678368
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:54:52.000Z	WaterColumn		2020821	0.1	2020-04-24T18:54:52Z	3.940745	57.676758
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:55:29.000Z	WaterColumn		2020821	0.1	2020-04-24T18:55:29Z	3.9399433	57.675133
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:56:07.000Z	WaterColumn		2020821	0.1	2020-04-24T18:56:07Z	3.93919	57.673504
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:56:45.000Z	WaterColumn		2020821	0.1	2020-04-24T18:56:45Z	3.9384716	57.671913
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:57:23.000Z	WaterColumn		2020821	0.1	2020-04-24T18:57:23Z	3.937745	57.6703
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:58:01.000Z	WaterColumn		2020821	0.1	2020-04-24T18:58:01Z	3.93688	57.668667
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:58:39.000Z	WaterColumn		2020821	0.1	2020-04-24T18:58:39Z	3.9360967	57.66709
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:59:17.000Z	WaterColumn		2020821	0.1	2020-04-24T18:59:17Z	3.9353232	57.665466
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T18:59:55.000Z	WaterColumn		2020821	0.1	2020-04-24T18:59:55Z	3.9345767	57.66384
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T19:00:33.000Z	WaterColumn		2020821	0.1	2020-04-24T19:00:33Z	3.933665	57.662235
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T19:01:10.000Z	WaterColumn		2020821	0.1	2020-04-24T19:01:10Z	3.932805	57.660633
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T19:01:49.000Z	WaterColumn		2020821	0.1	2020-04-24T19:01:49Z	3.9318733	57.65901
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T19:02:27.000Z	WaterColumn		2020821	0.1	2020-04-24T19:02:27Z	3.930945	57.657475
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T19:03:04.000Z	WaterColumn		2020821	0.1	2020-04-24T19:03:04Z	3.9300334	57.65589
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T19:03:42.000Z	WaterColumn		2020821	0.1	2020-04-24T19:03:42Z	3.9291682	57.65428
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T19:04:21.000Z	WaterColumn		2020821	0.1	2020-04-24T19:04:21Z	3.928265	57.652687
Engelsk_Klondyke_2020	T1	2020821/2020-04-24T19:04:59.000Z	WaterColumn		2020821	0.1	2020-04-24T19:04:59Z	3.92744	57.651093
