"Survey"	"Stratum"	"PSU"	"Layer"	"Beam"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Frequency"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"DensityWeight"
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	988336.183485361	10	90	16.1
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	741252.13761402	10	90	16.1
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	741252.137614021	10	90	16.1
"Survey"	"Outer_Shoal_2020_1"	"T14"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	16.1
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	166080.659425755	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	830403.297128775	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	5314581.10162416	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	9134436.26841653	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	9300516.92784228	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	3985935.82621812	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	664322.63770302	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	1992967.91310906	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	1494725.9348318	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	1494725.9348318	10	90	18.5
"Survey"	"Outer_Shoal_2020_1"	"T15"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	18.5
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	112090.200660292	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	560451.003301462	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	3586886.42112936	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	6164961.03631608	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	6277051.23697638	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	2690164.81584702	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	448360.80264117	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	1345082.40792351	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	1008811.80594263	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	1008811.80594263	10	90	17.2
"Survey"	"Outer_Shoal_2020_1"	"T16"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	17.2
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	127239.892432999	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	636199.462164997	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	4071676.55785598	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	6998194.08381496	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	7125433.97624796	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	3053757.41839198	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	508959.569731997	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	1526878.70919599	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	1145159.03189699	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	1145159.03189699	10	90	23.4
"Survey"	"Outer_Shoal_2020_1"	"T17"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	23.4
NA	NA	NA	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	NA	NA	38000	NA	10	90	48.2
NA	NA	NA	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	48.2
