"Stratum"	"Area"
"1"	13250.3185024069
"2"	6175.34956328377
"3"	8359.13842281874
"4"	5095.78056673251
"5"	4758.56983646331
"6"	5165.44771081092
"7"	10308.525020813
"8"	10862.5541729467
"9"	0
"10"	3521.66849303179
"11"	9564.36019263731
"12"	8972.62619203261
"13"	0
"14"	0
"15"	0
"16"	0
"17"	8031.47312648707
"18"	5741.87518423092
"19"	0
"20"	0
"21"	9564.25888589099
"22"	1919.86729288949
"23"	7252.90313925335
