"Stratum"	"PSU"	"EDSU"	"Layer"	"Channel"	"Cruise"	"EffectiveLogDistance"	"DateTime"	"Longitude"	"Latitude"
"45G9"	"PSU131"	"BIAS_2018_SWE/2018-10-10T03:37:25.000Z"	"WaterColumn"	"10_45.5"	"BIAS_2018_SWE"	1	2018-10-10T03:37:00Z	19.14487	58.19019
"45G9"	"PSU132"	"BIAS_2018_SWE/2018-10-10T03:44:48.000Z"	"WaterColumn"	"10_28.8"	"BIAS_2018_SWE"	1	2018-10-10T03:44:00Z	19.14465	58.1734
"45G9"	"PSU133"	"BIAS_2018_SWE/2018-10-10T03:52:05.000Z"	"WaterColumn"	"10_41.9"	"BIAS_2018_SWE"	1	2018-10-10T03:52:00Z	19.14401	58.15659
"45G9"	"PSU134"	"BIAS_2018_SWE/2018-10-10T03:59:06.000Z"	"WaterColumn"	"10_50.1"	"BIAS_2018_SWE"	1	2018-10-10T03:59:00Z	19.14268	58.13979
"45G9"	"PSU135"	"BIAS_2018_SWE/2018-10-10T04:05:55.000Z"	"WaterColumn"	"10_62.6"	"BIAS_2018_SWE"	1	2018-10-10T04:05:00Z	19.14068	58.12304
"45G9"	"PSU136"	"BIAS_2018_SWE/2018-10-10T04:13:07.000Z"	"WaterColumn"	"10_56.2"	"BIAS_2018_SWE"	1	2018-10-10T04:13:00Z	19.14781	58.10904
"45G9"	"PSU137"	"BIAS_2018_SWE/2018-10-10T04:20:12.000Z"	"WaterColumn"	"10_41.7"	"BIAS_2018_SWE"	1	2018-10-10T04:20:00Z	19.17964	58.10859
"45G9"	"PSU138"	"BIAS_2018_SWE/2018-10-10T04:27:07.000Z"	"WaterColumn"	"10_39.1"	"BIAS_2018_SWE"	1	2018-10-10T04:27:00Z	19.21134	58.10807
"45G9"	"PSU139"	"BIAS_2018_SWE/2018-10-10T04:34:08.000Z"	"WaterColumn"	"10_33.1"	"BIAS_2018_SWE"	1	2018-10-10T04:34:00Z	19.24303	58.10765
"45G9"	"PSU140"	"BIAS_2018_SWE/2018-10-10T04:41:10.000Z"	"WaterColumn"	"10_27.3"	"BIAS_2018_SWE"	1	2018-10-10T04:41:00Z	19.2748	58.10738
"45G9"	"PSU141"	"BIAS_2018_SWE/2018-10-10T04:48:09.000Z"	"WaterColumn"	"10_39.6"	"BIAS_2018_SWE"	1	2018-10-10T04:48:00Z	19.3065	58.10765
"45G9"	"PSU142"	"BIAS_2018_SWE/2018-10-10T04:55:03.000Z"	"WaterColumn"	"10_51.8"	"BIAS_2018_SWE"	1	2018-10-10T04:55:00Z	19.33822	58.10817
"45G9"	"PSU143"	"BIAS_2018_SWE/2018-10-10T07:54:08.000Z"	"WaterColumn"	"10_147.5"	"BIAS_2018_SWE"	1	2018-10-10T07:54:00Z	19.58522	58.13792
"45G9"	"PSU144"	"BIAS_2018_SWE/2018-10-10T08:00:50.000Z"	"WaterColumn"	"10_156.1"	"BIAS_2018_SWE"	1	2018-10-10T08:00:00Z	19.61535	58.13237
"45G9"	"PSU145"	"BIAS_2018_SWE/2018-10-10T08:07:20.000Z"	"WaterColumn"	"10_162.8"	"BIAS_2018_SWE"	1	2018-10-10T08:07:00Z	19.6453	58.1267
"45G9"	"PSU146"	"BIAS_2018_SWE/2018-10-10T08:13:20.000Z"	"WaterColumn"	"10_164.1"	"BIAS_2018_SWE"	1	2018-10-10T08:13:00Z	19.67513	58.12098
"45G9"	"PSU147"	"BIAS_2018_SWE/2018-10-10T08:19:19.000Z"	"WaterColumn"	"10_160.2"	"BIAS_2018_SWE"	1	2018-10-10T08:19:00Z	19.70511	58.11534
"45G9"	"PSU148"	"BIAS_2018_SWE/2018-10-10T08:25:15.000Z"	"WaterColumn"	"10_151.7"	"BIAS_2018_SWE"	1	2018-10-10T08:25:00Z	19.7349	58.10961
"45G9"	"PSU149"	"BIAS_2018_SWE/2018-10-10T08:31:32.000Z"	"WaterColumn"	"10_158.8"	"BIAS_2018_SWE"	1	2018-10-10T08:31:00Z	19.74438	58.09477
"45G9"	"PSU150"	"BIAS_2018_SWE/2018-10-10T08:37:39.000Z"	"WaterColumn"	"10_158.3"	"BIAS_2018_SWE"	1	2018-10-10T08:37:00Z	19.74511	58.07796
"45G9"	"PSU151"	"BIAS_2018_SWE/2018-10-10T08:43:34.000Z"	"WaterColumn"	"10_158.9"	"BIAS_2018_SWE"	1	2018-10-10T08:43:00Z	19.74546	58.06113
"45G9"	"PSU152"	"BIAS_2018_SWE/2018-10-10T08:49:31.000Z"	"WaterColumn"	"10_165.7"	"BIAS_2018_SWE"	1	2018-10-10T08:49:00Z	19.74629	58.04435
"45G9"	"PSU153"	"BIAS_2018_SWE/2018-10-10T08:55:34.000Z"	"WaterColumn"	"10_177.2"	"BIAS_2018_SWE"	1	2018-10-10T08:55:00Z	19.74739	58.02753
"46G9"	"PSU065"	"BIAS_2018_SWE/2018-10-09T11:23:03.000Z"	"WaterColumn"	"10_89.5"	"BIAS_2018_SWE"	1	2018-10-09T11:23:00Z	19.99548	58.91942
"46G9"	"PSU066"	"BIAS_2018_SWE/2018-10-09T11:31:53.000Z"	"WaterColumn"	"10_86.5"	"BIAS_2018_SWE"	1	2018-10-09T11:31:00Z	19.96823	58.92854
"46G9"	"PSU067"	"BIAS_2018_SWE/2018-10-09T11:40:37.000Z"	"WaterColumn"	"10_94.3"	"BIAS_2018_SWE"	1	2018-10-09T11:40:00Z	19.94096	58.93753
"46G9"	"PSU068"	"BIAS_2018_SWE/2018-10-09T11:49:11.000Z"	"WaterColumn"	"10_61.8"	"BIAS_2018_SWE"	1	2018-10-09T11:49:00Z	19.91366	58.94665
"46G9"	"PSU069"	"BIAS_2018_SWE/2018-10-09T11:57:49.000Z"	"WaterColumn"	"10_111.2"	"BIAS_2018_SWE"	1	2018-10-09T11:57:00Z	19.88659	58.9558
"46G9"	"PSU070"	"BIAS_2018_SWE/2018-10-09T12:06:49.000Z"	"WaterColumn"	"10_56.1"	"BIAS_2018_SWE"	1	2018-10-09T12:06:00Z	19.8595	58.96502
"46G9"	"PSU071"	"BIAS_2018_SWE/2018-10-09T12:15:47.000Z"	"WaterColumn"	"10_84.2"	"BIAS_2018_SWE"	1	2018-10-09T12:15:00Z	19.83249	58.97436
"46G9"	"PSU072"	"BIAS_2018_SWE/2018-10-09T12:24:45.000Z"	"WaterColumn"	"10_57.7"	"BIAS_2018_SWE"	1	2018-10-09T12:24:00Z	19.80546	58.98363
"46G9"	"PSU073"	"BIAS_2018_SWE/2018-10-09T12:33:37.000Z"	"WaterColumn"	"10_54.3"	"BIAS_2018_SWE"	1	2018-10-09T12:33:00Z	19.77857	58.99301
"46G9"	"PSU074"	"BIAS_2018_SWE/2018-10-09T16:49:08.000Z"	"WaterColumn"	"10_59.5"	"BIAS_2018_SWE"	1	2018-10-09T16:49:00Z	19.57047	58.9837
"46G9"	"PSU075"	"BIAS_2018_SWE/2018-10-09T16:57:45.000Z"	"WaterColumn"	"10_62.1"	"BIAS_2018_SWE"	1	2018-10-09T16:57:00Z	19.57047	58.96693
"46G9"	"PSU076"	"BIAS_2018_SWE/2018-10-09T17:05:28.000Z"	"WaterColumn"	"10_73"	"BIAS_2018_SWE"	1	2018-10-09T17:05:00Z	19.5703	58.95017
"46G9"	"PSU077"	"BIAS_2018_SWE/2018-10-09T17:13:38.000Z"	"WaterColumn"	"10_79.5"	"BIAS_2018_SWE"	1	2018-10-09T17:13:00Z	19.57027	58.93342
"46G9"	"PSU078"	"BIAS_2018_SWE/2018-10-09T17:22:03.000Z"	"WaterColumn"	"10_121.2"	"BIAS_2018_SWE"	1	2018-10-09T17:22:00Z	19.56947	58.91664
"46G9"	"PSU079"	"BIAS_2018_SWE/2018-10-09T17:29:56.000Z"	"WaterColumn"	"10_127.6"	"BIAS_2018_SWE"	1	2018-10-09T17:29:00Z	19.56809	58.89984
"46G9"	"PSU080"	"BIAS_2018_SWE/2018-10-09T17:37:45.000Z"	"WaterColumn"	"10_114.8"	"BIAS_2018_SWE"	1	2018-10-09T17:37:00Z	19.56724	58.88309
"46G9"	"PSU081"	"BIAS_2018_SWE/2018-10-09T17:45:15.000Z"	"WaterColumn"	"10_68.7"	"BIAS_2018_SWE"	1	2018-10-09T17:45:00Z	19.5663	58.86628
"46G9"	"PSU082"	"BIAS_2018_SWE/2018-10-09T17:52:56.000Z"	"WaterColumn"	"10_74.3"	"BIAS_2018_SWE"	1	2018-10-09T17:52:00Z	19.56545	58.84953
"46G9"	"PSU083"	"BIAS_2018_SWE/2018-10-09T18:00:26.000Z"	"WaterColumn"	"10_85.8"	"BIAS_2018_SWE"	1	2018-10-09T18:00:00Z	19.56521	58.83279
"46G9"	"PSU084"	"BIAS_2018_SWE/2018-10-09T18:08:08.000Z"	"WaterColumn"	"10_132.6"	"BIAS_2018_SWE"	1	2018-10-09T18:08:00Z	19.56591	58.81601
"46G9"	"PSU085"	"BIAS_2018_SWE/2018-10-09T20:24:16.000Z"	"WaterColumn"	"10_153.9"	"BIAS_2018_SWE"	1	2018-10-09T20:24:00Z	19.52802	58.75309
"46G9"	"PSU086"	"BIAS_2018_SWE/2018-10-09T20:32:33.000Z"	"WaterColumn"	"10_83.6"	"BIAS_2018_SWE"	1	2018-10-09T20:32:00Z	19.55275	58.74223
"46G9"	"PSU087"	"BIAS_2018_SWE/2018-10-09T20:40:34.000Z"	"WaterColumn"	"10_86.9"	"BIAS_2018_SWE"	1	2018-10-09T20:40:00Z	19.5632	58.72751
"46G9"	"PSU088"	"BIAS_2018_SWE/2018-10-09T20:48:42.000Z"	"WaterColumn"	"10_139.3"	"BIAS_2018_SWE"	1	2018-10-09T20:48:00Z	19.5649	58.71077
"46G9"	"PSU089"	"BIAS_2018_SWE/2018-10-09T20:56:57.000Z"	"WaterColumn"	"10_123.2"	"BIAS_2018_SWE"	1	2018-10-09T20:56:00Z	19.56624	58.69402
"46G9"	"PSU090"	"BIAS_2018_SWE/2018-10-09T21:05:24.000Z"	"WaterColumn"	"10_123.8"	"BIAS_2018_SWE"	1	2018-10-09T21:05:00Z	19.56742	58.67728
"46G9"	"PSU091"	"BIAS_2018_SWE/2018-10-09T21:13:14.000Z"	"WaterColumn"	"10_119.4"	"BIAS_2018_SWE"	1	2018-10-09T21:13:00Z	19.56783	58.66047
"46G9"	"PSU092"	"BIAS_2018_SWE/2018-10-09T21:20:42.000Z"	"WaterColumn"	"10_105.9"	"BIAS_2018_SWE"	1	2018-10-09T21:20:00Z	19.56779	58.64369
"46G9"	"PSU093"	"BIAS_2018_SWE/2018-10-09T21:28:04.000Z"	"WaterColumn"	"10_109.1"	"BIAS_2018_SWE"	1	2018-10-09T21:28:00Z	19.56773	58.62691
"46G9"	"PSU094"	"BIAS_2018_SWE/2018-10-09T21:35:19.000Z"	"WaterColumn"	"10_98.7"	"BIAS_2018_SWE"	1	2018-10-09T21:35:00Z	19.56798	58.61015
"46G9"	"PSU095"	"BIAS_2018_SWE/2018-10-09T21:43:22.000Z"	"WaterColumn"	"10_90.9"	"BIAS_2018_SWE"	1	2018-10-09T21:43:00Z	19.56889	58.59338
"46G9"	"PSU096"	"BIAS_2018_SWE/2018-10-09T21:51:13.000Z"	"WaterColumn"	"10_48"	"BIAS_2018_SWE"	1	2018-10-09T21:51:00Z	19.56937	58.57662
"46G9"	"PSU097"	"BIAS_2018_SWE/2018-10-09T21:59:09.000Z"	"WaterColumn"	"10_48.1"	"BIAS_2018_SWE"	1	2018-10-09T21:59:00Z	19.57026	58.55986
"46G9"	"PSU098"	"BIAS_2018_SWE/2018-10-09T22:06:58.000Z"	"WaterColumn"	"10_92.7"	"BIAS_2018_SWE"	1	2018-10-09T22:06:00Z	19.57038	58.54309
"46G9"	"PSU099"	"BIAS_2018_SWE/2018-10-09T22:14:41.000Z"	"WaterColumn"	"10_87.8"	"BIAS_2018_SWE"	1	2018-10-09T22:14:00Z	19.57055	58.52631
"46G9"	"PSU100"	"BIAS_2018_SWE/2018-10-09T22:22:26.000Z"	"WaterColumn"	"10_83"	"BIAS_2018_SWE"	1	2018-10-09T22:22:00Z	19.57087	58.50955
"46H0"	"PSU001"	"BIAS_2018_SWE/2018-10-08T20:12:03.000Z"	"WaterColumn"	"10_94.1"	"BIAS_2018_SWE"	1	2018-10-08T20:12:00Z	20.0087	58.99567
"46H0"	"PSU002"	"BIAS_2018_SWE/2018-10-08T20:20:28.000Z"	"WaterColumn"	"10_73.2"	"BIAS_2018_SWE"	1	2018-10-08T20:20:00Z	20.02892	58.98262
"46H0"	"PSU003"	"BIAS_2018_SWE/2018-10-08T20:29:16.000Z"	"WaterColumn"	"10_130.1"	"BIAS_2018_SWE"	1	2018-10-08T20:29:00Z	20.04942	58.9696
