Stratum	PSU	Layer	Haul	WeightingFactor
Engelsk_Klondyke_2020	T5	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T5	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T5	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T6	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T6	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T6	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T6	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T6	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T6	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T7	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T7	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T7	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T7	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T7	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T7	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T8	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T8	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T8	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T8	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T8	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T8	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T9	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T9	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T9	WaterColumn	2020821/5/2020/3317/21-38-37253	96
