"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"1999002/4/1999/1024/2"	"24"	"80009"	"vanlig uer/166781/151324/NA"	"166781"
"1999002/4/1999/1024/2"	"25"	"80010"	"sild'G03/161722.G03/126417/NA"	"Clupea harengus"
"1999002/4/1999/1024/2"	"25"	"80010"	"arktisk knurrulke/644643/127207/NA"	"Triglops pingelii"
"1999002/4/1999/1024/2"	"25"	"80010"	"dypvannsreke/96967/107649/NA"	"96967"
"1999002/4/1999/1024/2"	"25"	"80010"	"flekksteinbit/171342/126759/NA"	"Anarhichas minor"
"1999002/4/1999/1024/2"	"25"	"80010"	"gapeflyndre/172877/127137/NA"	"Hippoglossoides platessoides"
"1999002/4/1999/1024/2"	"25"	"80010"	"hyse/164744/126437/NA"	"Melanogrammus aeglefinus"
"1999002/4/1999/1024/2"	"25"	"80010"	"kloskate/564149/105865/NA"	"Amblyraja radiata"
"1999002/4/1999/1024/2"	"25"	"80010"	"krokulke/167208/127193/NA"	"Artediellus atlanticus"
"1999002/4/1999/1024/2"	"25"	"80010"	"lodde/162035/126735/NA"	"Mallotus villosus"
"1999002/4/1999/1024/2"	"25"	"80010"	"nordlig ringbuk/167522/127212/NA"	"Careproctus spp"
"1999002/4/1999/1024/2"	"25"	"80010"	"rognkjeks/167612/127214/NA"	"Cyclopterus lumpus"
"1999002/4/1999/1024/2"	"25"	"80010"	"torsk/164712/126436/NA"	"Gadus morhua"
"1999002/4/1999/1024/2"	"25"	"80010"	"tverrhalet langebarn/171603/127072/NA"	"Leptoclinus maculatus"
"1999002/4/1999/1024/2"	"25"	"80010"	"vanlig ålebrosme/631144/274100/NA"	"Lycodes gracilis"
"1999002/4/1999/1024/2"	"25"	"80010"	"vanlig uer/166781/151324/NA"	"166781"
"1999002/4/1999/1024/2"	"25"	"80010"	"øyepål/164756/126444/NA"	"Trisopterus esmarkii"
"1999002/4/1999/1024/2"	"26"	"80011"	"sild'G03/161722.G03/126417/NA"	"Clupea harengus"
"1999002/4/1999/1024/2"	"26"	"80011"	"flekksteinbit/171342/126759/NA"	"Anarhichas minor"
"1999002/4/1999/1024/2"	"26"	"80011"	"gapeflyndre/172877/127137/NA"	"Hippoglossoides platessoides"
"1999002/4/1999/1024/2"	"26"	"80011"	"hyse/164744/126437/NA"	"Melanogrammus aeglefinus"
"1999002/4/1999/1024/2"	"26"	"80011"	"kloskate/564149/105865/NA"	"Amblyraja radiata"
"1999002/4/1999/1024/2"	"26"	"80011"	"lodde/162035/126735/NA"	"Mallotus villosus"
"1999002/4/1999/1024/2"	"26"	"80011"	"torsk/164712/126436/NA"	"Gadus morhua"
"1999002/4/1999/1024/2"	"26"	"80011"	"vanlig ålebrosme/631144/274100/NA"	"Lycodes gracilis"
"1999002/4/1999/1024/2"	"26"	"80011"	"vanlig uer/166781/151324/NA"	"166781"
