Cruise,Header,CruiseSurvey,CruiseCountry,CruiseOrganisation,CruisePlatform,CruiseStartDate,CruiseEndDate,CruiseLocalID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise,Record,IESNS,NO,612,58KC,2021-04-30,2021-05-31,2021456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Header,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance,HaulStratum,CruiseLocalID,HaulHydrographicStationID
Haul,Record,PEL,22423,159,2021-05-09 17:08,60,V,67.8718333333333,6.81966666666667,67.8735,6.96216666666667,64F6,350,400,500,6048.63200000098,25,,,,,1080,,,,,103.13,,,,,,,79,,,,,,,6937.065,,2021456,
Haul,Record,PEL,22424,160,2021-05-09 23:19,30,V,67.9296666666667,8.2985,67.9535,8.3555,64F8,0,0,800,3596.58400000001,25,,,,,195,,,,,70,,,,,,,40,,,,,,,6972.352,,2021456,
Haul,Record,PEL,22425,161,2021-05-10 05:39,20,V,67.9783333333333,10.0101666666667,67.997,10.0365,64G0,300,350,500,2353.89200000119,25,,,,,770,,,,,98.81,,,,,,,28,,,,,,,7024.753,,2021456,
Haul,Record,CAM,22426,162,2021-05-10 08:53,23,V,67.942,10.7183333333333,67.9328333333333,10.7488333333333,64G0,0,180.56,,1659.3919999995,25,,,,,280,,,,,30.44,,,,,,,128,,,,,,,7044.469,,2021456,
Haul,Record,CAM,22427,163,2021-05-12 23:15,39,V,67.9581666666667,2.98033333333333,67.9851666666667,2.96783333333333,64F2,0,0,1800,3109.50800000016,25,,,,,340,,,,,31.63,,,,,,,0,,,,,,,7432.219,,2021456,
Haul,Record,PEL,22428,164,2021-05-13 13:51,26,V,69.1345,5.11883333333333,69.1351666666667,5.18283333333333,67F5,350,400,2500,2561.31599999965,25,,,,,900,,,,,106.31,,,,,,,66,,,,,,,7545.085,,2021456,
Haul,Record,PEL,22429,165,2021-05-13 23:24,30,V,69.2375,8.20383333333333,69.2703333333333,8.24783333333333,67F8,0,0,3000,4066.99199999984,25,,,,,190,,,,,69.19,,,,,,,32,,,,,,,7614.881,,2021456,
Haul,Record,PEL,22430,166,2021-05-14 23:43,30,V,69.25,13.1485,69.2805,13.1956666666667,67G3,0,0,2500,3883.64399999954,25,,,,,195,,,,,68.69,,,,,,,40,,,,,,,7731.915,,2021456,
Haul,Record,PEL,22431,167,2021-05-18 21:47,30,V,71.11,16.8738333333333,71.1095,16.8001666666667,71G6,0,753.5,,2703.91999999838,25,,,,,1200,,,,,98.88,,,,,,,275,,,,,,,8550.1,,2021456,
Haul,Record,PEL,22432,168,2021-05-19 03:17,30,V,71.14248205,16.3548020833333,71.1649393,16.2935925,71G6,0,0,2000,3398.41999999838,25,,,,,190,,,,,73.25,,,,,,,317,,,,,,,8569.136,,2021456,
Haul,Record,PEL,22433,169,2021-05-19 14:34,60,V,71.2051648166667,11.8174202333333,71.2159221,11.64437725,71G1,400,450,2000,6474.59199999849,25,,,,,930,,,,,100.44,,,,,,,275,,,,,,,8660.866,,2021456,
