"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"1999002/4/1999/1024/2"	"22"	"80007"	"vanlig ålebrosme/631144/274100/NA"	"631144"
"1999002/4/1999/1024/2"	"22"	"80007"	"vanlig uer/166781/151324/NA"	"166781"
"1999002/4/1999/1024/2"	"22"	"80007"	"øyepål/164756/126444/NA"	"164756"
"1999002/4/1999/1024/2"	"23"	"80008"	"sild'G03/161722.G03/126417/NA"	"161722.G03"
"1999002/4/1999/1024/2"	"23"	"80008"	"blåsteinbit/550561/126757/NA"	"550561"
"1999002/4/1999/1024/2"	"23"	"80008"	"dypvannsreke/96967/107649/NA"	"96967"
"1999002/4/1999/1024/2"	"23"	"80008"	"flekksteinbit/171342/126759/NA"	"171342"
"1999002/4/1999/1024/2"	"23"	"80008"	"gapeflyndre/172877/127137/NA"	"172877"
"1999002/4/1999/1024/2"	"23"	"80008"	"hyse/164744/126437/NA"	"164744"
"1999002/4/1999/1024/2"	"23"	"80008"	"kloskate/564149/105865/NA"	"564149"
"1999002/4/1999/1024/2"	"23"	"80008"	"krokulke/167208/127193/NA"	"167208"
"1999002/4/1999/1024/2"	"23"	"80008"	"lodde/162035/126735/NA"	"162035"
"1999002/4/1999/1024/2"	"23"	"80008"	"rognkjeks/167612/127214/NA"	"167612"
"1999002/4/1999/1024/2"	"23"	"80008"	"rødspette/172902/127143/NA"	"172902"
"1999002/4/1999/1024/2"	"23"	"80008"	"snabeluer/166756/127254/NA"	"166756"
"1999002/4/1999/1024/2"	"23"	"80008"	"torsk/164712/126436/NA"	"164712"
"1999002/4/1999/1024/2"	"23"	"80008"	"vanlig ålebrosme/631144/274100/NA"	"631144"
"1999002/4/1999/1024/2"	"23"	"80008"	"øyepål/164756/126444/NA"	"164756"
"1999002/4/1999/1024/2"	"24"	"80009"	"sild'G03/161722.G03/126417/NA"	"161722.G03"
"1999002/4/1999/1024/2"	"24"	"80009"	"blåkveite/172930/127144/NA"	"172930"
"1999002/4/1999/1024/2"	"24"	"80009"	"blåsteinbit/550561/126757/NA"	"550561"
"1999002/4/1999/1024/2"	"24"	"80009"	"dypvannsreke/96967/107649/NA"	"96967"
"1999002/4/1999/1024/2"	"24"	"80009"	"flekksteinbit/171342/126759/NA"	"171342"
"1999002/4/1999/1024/2"	"24"	"80009"	"gapeflyndre/172877/127137/NA"	"172877"
"1999002/4/1999/1024/2"	"24"	"80009"	"hyse/164744/126437/NA"	"164744"
"1999002/4/1999/1024/2"	"24"	"80009"	"kloskate/564149/105865/NA"	"564149"
"1999002/4/1999/1024/2"	"24"	"80009"	"krokulke/167208/127193/NA"	"167208"
"1999002/4/1999/1024/2"	"24"	"80009"	"lomre/172888/127140/NA"	"172888"
"1999002/4/1999/1024/2"	"24"	"80009"	"rognkjeks/167612/127214/NA"	"167612"
"1999002/4/1999/1024/2"	"24"	"80009"	"rødspette/172902/127143/NA"	"172902"
"1999002/4/1999/1024/2"	"24"	"80009"	"sei/164727/126441/NA"	"164727"
"1999002/4/1999/1024/2"	"24"	"80009"	"torsk/164712/126436/NA"	"164712"
"1999002/4/1999/1024/2"	"24"	"80009"	"vanlig ålebrosme/631144/274100/NA"	"631144"
"1999002/4/1999/1024/2"	"24"	"80009"	"vanlig uer/166781/151324/NA"	"166781"
"1999002/4/1999/1024/2"	"25"	"80010"	"sild'G03/161722.G03/126417/NA"	"161722.G03"
"1999002/4/1999/1024/2"	"25"	"80010"	"arktisk knurrulke/644643/127207/NA"	"644643"
"1999002/4/1999/1024/2"	"25"	"80010"	"dypvannsreke/96967/107649/NA"	"96967"
"1999002/4/1999/1024/2"	"25"	"80010"	"flekksteinbit/171342/126759/NA"	"171342"
"1999002/4/1999/1024/2"	"25"	"80010"	"gapeflyndre/172877/127137/NA"	"172877"
"1999002/4/1999/1024/2"	"25"	"80010"	"hyse/164744/126437/NA"	"164744"
"1999002/4/1999/1024/2"	"25"	"80010"	"kloskate/564149/105865/NA"	"564149"
"1999002/4/1999/1024/2"	"25"	"80010"	"krokulke/167208/127193/NA"	"167208"
"1999002/4/1999/1024/2"	"25"	"80010"	"lodde/162035/126735/NA"	"162035"
"1999002/4/1999/1024/2"	"25"	"80010"	"nordlig ringbuk/167522/127212/NA"	"167522"
"1999002/4/1999/1024/2"	"25"	"80010"	"rognkjeks/167612/127214/NA"	"167612"
"1999002/4/1999/1024/2"	"25"	"80010"	"torsk/164712/126436/NA"	"164712"
"1999002/4/1999/1024/2"	"25"	"80010"	"tverrhalet langebarn/171603/127072/NA"	"171603"
