"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"IndividualTotalLength"	"LengthResolution"	"IndividualRoundWeight"	"Abundance"	"Biomass"	"MinLayerDepth"	"MaxLayerDepth"	"Cruise"	"Platform"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"stationtype"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"	"gearcondition"	"samplequality"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"	"Individual"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"108"	70	5	NA	182953.947943924	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-108"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"109"	85	5	NA	182953.947944061	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-109"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"11"	10	5	NA	336783.627647315	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-11"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"110"	90	5	NA	182953.947944061	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-110"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"111"	90	5	NA	182953.947944061	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-111"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"12"	10	5	NA	336783.627647315	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-12"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"13"	10	5	NA	336783.627647315	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-13"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"14"	10	5	NA	336783.627647315	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-14"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"15"	10	5	NA	336783.627647315	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-15"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"16"	10	5	NA	336783.627647315	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-16"	"IndividualWeight"	NA	NA
